Company,ISIN,Country,Publication date,Claim full compliance,Name of Auditor,Report link,SASB industry (SICS® Industries)
Spar Nord Bank,DK0060036564,Denmark,2025-02-05,TRUE,Deloitte,https://attachment.news.eu.nasdaq.com/a264f5d299b19a040d919cc23445a0fcb,Commercial Banks
TomTom,NL0013332471,Netherlands,2025-02-05,TRUE,PwC,https://corporate.tomtom.com/static-files/23910bbd-84e1-401d-8bf1-037fe9031d84,Internet Media & Services
GN Store Nord,DK0010272632,Denmark,2025-02-06,TRUE,PwC,https://www.gn.com/-/media/Files/Document-Download-Center/Corporate-governance/AR2024/GN-Annual-Report-2024.pdf,Medical Equipment & Supplies
Ørsted,DK0060094928,Denmark,2025-02-06,TRUE,PwC,https://cdn.orsted.com/-/media/annual2024/orsted-annual-report-2024.pdf?rev=e2d1485c254f4274aa6d7752c8947560,Electric Utilities & Power Generators
Mærsk,DK0010244425,Denmark,2025-02-06,TRUE,PwC,https://attachment.news.eu.nasdaq.com/a55930e697748fe58026d7b8502d7c330,Marine Transportation
Solar,DK0010274844,Denmark,2025-02-06,TRUE,Deloitte,https://attachment.news.eu.nasdaq.com/ac073c660b3bd956ce9df491a4fba278b,Solar Technology & Project Developers
Carlsberg,DK0010181759,Denmark,2025-02-06,TRUE,PwC,https://attachment.news.eu.nasdaq.com/aa5bd828cb018ada1539307f9ac6d8d70,Alcoholic Beverages
Rockwool,DK0010219153,Denmark,2025-02-06,TRUE,PwC,https://attachment.news.eu.nasdaq.com/af5fffe3ef739e79c3c46ee2c49f2ab9a,Building Products & Furnishings
Danske Bank,DK0010274414,Denmark,2025-02-07,TRUE,Deloitte,https://attachment.news.eu.nasdaq.com/afa0c01ae4c477af4f872314fa841db48,Commercial Banks
Danica Pension,n.a.,Denmark,2025-02-07,TRUE,Deloitte,https://danicapension.dk/-/media/pdf/danica-pension/dk/regnskaber/2024/q4/danica-pension-annual-report-2024.pdf?rev=7fbec4cf06824493aa2e8613b151c9ff&hash=26CE370EE0B9B4BE01BF8D0F11DE9F23,Insurance
DSB,n.a.,Denmark,2025-02-07,TRUE,EY,https://www.dsb.dk/globalassets/arsrapport/2024/annual-report-2024.pdf,Rail Transportation
Barco,BE0974362940,Belgium,2025-02-11,TRUE,PwC,https://assets.barco.com/m/4e3f86020693827c/original/Barco-IR2024-FULL.pdf?_gl=1*1ogpn62*_gcl_au*MTEzMTUxNzkzNi4xNzM5MjYzNTQ1*_ga*MTE2MDMyMzgwOC4xNzM5MjYzNTQ1*_ga_KMDGVRWYBD*MTczOTI2MzU0NC4xLjEuMTczOTI2MzU1MS41NC4wLjEwMTcxNzQyNDI.,Hardware
Randstad,NL0000379121,Netherlands,2025-02-12,TRUE,Deloitte,https://www.randstad.com/s3fs-media/rscom/public/2025-02/Randstad_Annual_Report_2024_0.pdf?VersionId=Bv1eXfZPoZ64ddDZTJWm6THty81RB0EM,Professional & Commercial Services
Genmab,DK0010272202,Denmark,2025-02-12,TRUE,Deloitte,https://attachment.news.eu.nasdaq.com/aea8fb1fc8552902fb0e68d02f3c1b189,Biotechnology & Pharmaceuticals
Stora Enso,FI0009005961,Finland,2025-02-13,TRUE,PwC,https://www.storaenso.com/-/media/documents/download-center/documents/annual-reports/2024/storaenso_annual_report_2024.pdf,Pulp & Paper Products
Norsk Hydro,NO0005052605,Norway,2025-02-14,TRUE,KPMG,https://www.hydro.com/globalassets/06-investors/reports-and-presentations/annual-report/nhy-2024/integrated-annual-report-2024-en.pdf,Metals & Mining
Gjensidige Forsikring,NO0010582521,Norway,2025-02-14,TRUE,Deloitte,https://mb.cision.com/Public/1122/4106048/b2a2ba6ef26c7a42.pdf,Insurance
Kone,FI0009013403,Finland,2025-02-14,TRUE,EY,https://www.kone.com/en/Images/KONE_Sustainability%20Statement_2024_tcm17-134329.pdf,Industrial Machinery & Goods
Alfen,NL0012817175,Netherlands,2025-02-12,TRUE,PwC,https://alfen.com/nl/media/2013/download?attachment,Electrical & Electronic Equipment
Mapfre,n.a.,Spain,2025-02-14,TRUE,KPMG,https://www.mapfre.com/media/shareholders/2025/consolidated-annual-account-2024.pdf,Insurance
Banco Sabadell,n.a.,Spain,2025-02-14,TRUE,KPMG,https://www.grupbancsabadell.com/corp/files/6000238911432/6_is_24_eng.pdf?bsb=RmlsZV9DLTYwMDAyMzg5MTE0MzItMTM3NDA5ODA3OTg5NQ,Commercial Banks
BBVA,ES0113211835,Spain,2025-02-14,TRUE,EY,https://shareholdersandinvestors.bbva.com/wp-content/uploads/2025/02/5_2_ENG_2024_Consolidated_Annual_Accounts_and_Management_Report.pdf,Commercial Banks
Royal Schiphol,n.a.,Netherlands,2025-02-11,TRUE,EY,https://downloads.ctfassets.net/biom0eqyyi6b/4dK3ANlskFq31RXtEu9oyP/1a9b38969bfacf5a5bd75bd0c1f7d839/Schiphol_Group_Annual_Report_2024.pdf,Air Freight & Logistics
WithSecure ,FI4000519228,Finland,2025-02-12,TRUE,PwC,https://www.withsecure.com/content/dam/with-secure/en/investor/materials/WithSecure_Annual_Report_2024.pdf,Software & IT Services
Sartorius,DE0007165631,Germany,2025-02-17,TRUE,PwC,https://www.sartorius.com/download/1661808/fy-2024-download-sag-annual-report-en-data.pdf,Medical Equipment & Supplies
Fortum,FI0009007132,Finland,2025-02-17,TRUE,Deloitte,https://www.fortum.com/files/fortum-financials-2024,Electric Utilities & Power Generators
Fiskars,FI0009000400,Finland,2025-02-18,TRUE,EY,https://fiskarsgroup.com/wp-content/uploads/2025/02/FiskarsGroup_Annual_Report_2024.pdf,Appliance Manufacturing
Wärtsilä,FI0009003727,Finland,2025-02-19,TRUE,PwC,https://mb.cision.com/Main/15003/4107848/3272936.pdf,Appliance Manufacturing
NNIT,DK0060580512,Denmark,2025-02-19,TRUE,EY,https://www.nnit.com/media/50fpzrik/nnit-annual-report-2024.pdf,Software & IT Services
Alk-Abello,DK0061802139,Denmark,2025-02-19,TRUE,PwC,https://ir.alk.net/static-files/b6b65921-c84e-45c4-8b5a-e6f91bc00cbd,Biotechnology & Pharmaceuticals
ISS,DK0060542181,Denmark,2025-02-20,TRUE,PwC,https://inv.issworld.com/static-files/e2fc0b84-da74-4077-a176-4c4ed0f6364c,Professional & Commercial Services
HSBC Continental Europe,FR0013383502,France,2025-02-19,TRUE,PwC,https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-continental-europe/250219-registration-document-and-annual-financial-report-2024-english.pdf,Commercial Banks
Nilfisk,DK0060907293,Denmark,2025-02-20,TRUE,Deloitte,https://investor.nilfisk.com/static-files/078eaffc-1f0e-406b-aace-9f6217cc0f0a,Industrial Machinery & Goods
Heineken,NL0000009165,Netherlands,2025-02-20,TRUE,Deloitte,https://www.theheinekencompany.com/sites/heineken-corp/files/2025-02/heineken_n_v_annual_report_2024_final_20feb2025.pdf,Alcoholic Beverages
SBM Offshore,NL0000360618,Netherlands,2025-02-20,TRUE,Deloitte,https://2024.annualreport.sbmoffshore.com/,Oil & Gas – Exploration & Production
FLSmidth,DK0010234467,Denmark,2025-02-20,TRUE,EY,https://ml-eu.globenewswire.com/Resource/Download/c8fc5716-0f20-43f0-97da-6575ad0c76af,Engineering & Construction Services
AMAG Austria Metall,AT00000AMAG3,Austria,2025-02-20,TRUE,EY,https://www.amag-al4u.com/fileadmin/user_upload/amag/Investor_Relations/Publikationen/2024/AMAG_GJ2024_Finanzbericht_en.pdf,Metals & Mining
Airbus,NL0000235190,France,2025-04-01,TRUE,EY,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf,Aerospace & Defence
Repsol ,ES0173516115,Spain,2025-02-20,TRUE,PwC,https://www.repsol.com/content/dam/repsol-corporate/en_gb/accionistas-e-inversores/informes-anuales/2024/consolidated-management-report-2024.pdf,Oil & Gas – Exploration & Production
Koninklijke BAM Groep,NL0000337319,Netherlands,2025-02-21,TRUE,EY,https://www.bam.com/sites/bamc/files/2025-02/bam-2024-annual-report_0.pdf,Engineering & Construction Services
NKT,DK0010287663,Denmark,2025-02-21,TRUE,PwC,https://investors.nkt.com/static-files/6b835bd3-42ed-4b20-a68a-9bedb587aa13,Electrical & Electronic Equipment
Kemira,FI0009004824,Finland,2025-02-21,TRUE,EY,https://mb.cision.com/Main/19578/4109438/3278726.pdf,Chemicals
Nordea,FI4000297767,Finland,2025-02-24,TRUE,PwC,https://www.nordea.com/en/doc/annual-report-nordea-bank-abp-2024-0.pdf,Commercial Banks
Bank of Ireland,XS2226123573,Ireland,2025-02-24,TRUE,KPMG,https://investorrelations.bankofireland.com/app/uploads/Annual-Report-HoldCo-2024-Web.pdf,Commercial Banks
Barclays Bank,GB0000784164,United Kingdom,2025-02-12,TRUE,KPMG,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2024/Barclays-Bank-PLC-Annual-Report-2024-Final.pdf,Commercial Banks
Philips,NL0000009538,Netherlands,2025-02-21,TRUE,EY,https://www.results.philips.com/publications/ar24/downloads/files/en/PhilipsFullAnnualReport2024-English.pdf?v%3D20250221111026&sa=D&source=editors&ust=1740414875713543&usg=AOvVaw03JVrsRo5pGqKO9bnEsL-L,Electric Utilities & Power Generators
Swedbank,SE0000242455,Sweden,2025-02-20,TRUE,PwC,https://mb.cision.com/Main/67/4109053/3277713.pdf,Commercial Banks
Sanofi,FR0000120578,France,2025-02-13,TRUE,PwC & Forvis Mazars,https://www.sanofi.com/assets/dotcom/content-app/publications/esg-reports/sustainability-statement-2024--ESG-Report-.pdf,Biotechnology & Pharmaceuticals
Royal Unibrew,DK0060634707,Denmark,2025-02-25,TRUE,Deloitte,https://investor.royalunibrew.com/static-files/44a7f883-b6b8-4f5e-a8b6-1148ba00cf65,Alcoholic Beverages
Deutsche Telekom,DE0005557508,Germany,2025-02-26,TRUE,Deloitte,https://www.telekom.com/resource/blob/1085970/9e25d438580a5e3f39521fd94ed5e48c/dt-24-annual-report-data.pdf,Telecommunication Services
Covestro,DE0006062144,Germany,2025-02-26,TRUE,KPMG,https://annualreport.covestro.com/ecomaXL/files/Covestro_2024_GB_EN.pdf,Chemicals
UniCredit,IT0005239360,Italy,2025-02-26,TRUE,KPMG,https://www.unicreditgroup.eu/content/dam/unicreditgroup-eu/documents/en/investors/financial-reports/2024/4Q24/2024-Annual-Reports-and-Accounts-General-Meeting-Draft.pdf,Commercial Banks
Novonesis,DK0060336014,Denmark,2025-02-26,TRUE,EY,https://media.novonesis.com/Novonesis_Annual_Report_2024.pdf,Biotechnology & Pharmaceuticals
TKM Grupp,EE0000001105,Estonia,2025-02-19,TRUE,PwC,https://nasdaqbaltic.com/market/upload/reports/tkm/2024_ar_en_eur_con_00.pdf,Food Retailers & Distributors
E.ON,DE000ENAG999,Germany,2025-02-26,TRUE,KPMG,https://www.eon.com/content/dam/eon/eon-com/eon-com-assets/documents/investor-relations/en/annual-report/GB24-gesamt-EN_final.pdf,Electric Utilities & Power Generators
Raiffeisen Bank International,AT0000606306,Austria,2025-02-25,TRUE,Deloitte,https://www.rbinternational.com/content/dam/rbi/ho/investors/results-reports/annual-reports/rbi/2025-02-25%202024%20RBI%20Annual%20Report.pdf.coredownload.pdf,Commercial Banks
Royal Ahold Delhaize,NL0011794037,Netherlands,2025-02-26,TRUE,KPMG,https://www.aholddelhaize.com/media/0hsbqnl1/annual-report-2024-ahold-delhaize-hi_res.pdf,Food Retailers & Distributors
Ignitis,LT0000115768,Lithuania,2025-02-26,TRUE,KPMG,https://ignitisgrupe.lt/sites/default/files/public/inline-files/Integrated%20Annual%20Report%202024_0.pdf,Electric Utilities & Power Generators
Axfood,SE0006993770,Sweden,2025-02-21,TRUE,Deloitte,https://www.axfood.com/globalassets/startsida/investerare/rapporter-och-presentationer/2024/axfood-annual-and-sustainability-report-2024.pdf,Food Retailers & Distributors
MT Højgaard Holding,DK0010255975,Denmark,2025-02-20,TRUE,EY,https://mthh.dk/app/uploads/2025/02/MTHH_AR24_UK.pdf,Engineering & Construction Services
DFDS,DK0060655629,Denmark,2025-02-21,TRUE,PwC,https://downloads.ctfassets.net/mivicpf5zews/7bSRWp5LwAcKV701igh7Da/7219e15a8807443823915c05b6691a24/DFDS_ANNUAL_REPORT_2024.pdf,Marine Transportation
UCB,BE0003739530,Belgium,2025-02-26,TRUE,Forvis Mazars,https://djmyn0vvwsj0h.cloudfront.net/UCB_IAR_2024_ENG_4f4ead3812.pdf,Biotechnology & Pharmaceuticals
PostNL,NL0009739416,Netherlands,2025-02-24,TRUE,KPMG,https://annualreport.postnl.nl/2024/xmlpages/tan/files?p_file_id=438,Air Freight & Logistics
Telefónica Deutschland,DE000A1J5RX9,Germany,2025-02-27,TRUE,PwC,https://www.telefonica.de/file/public/826/ANNUAL-REPORT-2024-EN-Telefonica-Deutschland-Holding-AG_protected.pdf?attachment=1,Telecommunication Services
Tatra banka,SK1110001502,Slovakia,2025-02-28,TRUE,Deloitte,https://www.tatrabanka.sk/files/archiv/en/about/economic-results/annual-reports/Annualreport2024Non-officialPDFversion.pdf,Commercial Banks
Arena Hospitality,HRARNTRA0004,Croatia,2025-02-27,TRUE,Deloitte,https://www.arenahospitalitygroup.com/datastore/filestore/137/Annual-Report-2024.pdf,Hotels & Lodging
Elisa,FI0009007884,Finland,2025-02-26,TRUE,EY,https://static.elisa.com/v2/image/2tqybbhjs47b/1V94t8IZNr8wdpClnbdS02/Elisa_AnnualReport_2024.pdf,Telecommunication Services
Kesko,FI0009000202,Finland,2025-02-28,TRUE,Deloitte,https://www.kesko.fi/493454/globalassets/03-sijoittaja/raporttikeskus/2025/q1/vuosiraportti-2024/kesko_annual_report_2024.pdf,Food Retailers & Distributors
Konecranes,FI0009005870,Finland,2025-02-28,TRUE,EY,https://investors.konecranes.com/sites/konecranes/files/Annual_report_2024/governance_and_financial_review_2024.pdf,Industrial Machinery & Goods
Neste,FI0009013296,Finland,2025-02-28,TRUE,KPMG,https://www.neste.com/files/pdf/3kFaGuHcQk8hRDLS6tlvqF-Neste_Annual_Report_2024.pdf,Oil & Gas – Refining & Marketing
Sartorius Stedim Biotech,FR0013154002,France,2025-02-17,TRUE,PwC,https://www.sartorius.com/download/1662024/fy-2024-download-ssb-annual-report-en-data.pdf,Medical Equipment & Supplies
Hochtief,DE0006070006,Germany,2025-02-19,TRUE,Deloitte,https://www.hochtief.de/mmdbdownload?id=244795,Engineering & Construction Services
SAP,DE0007164600,Germany,2025-02-27,TRUE,BDO,https://www.sap.com/docs/download/investors/2024/sap-2024-integrated-report.pdf,Software & IT Services
Ferrari,NL0011585146,Italy,2025-02-21,TRUE,Deloitte,https://cdn.ferrari.com/cms/network/media/pdf/Ferrari%20NV%20Annual%20Report%202024.pdf?_gl=1*1fffess*_ga*MTE3OTk5NDUyLjE3NDAzOTU5MTY.*_ga_JM1HT9B412*MTc0MDM5NTkxNi4xLjEuMTc0MDM5NjAyNy4wLjAuNjU4OTU2Njky,Automobiles
Banco Santander,ES0113900J37,Spain,2025-02-25,TRUE,PwC,https://www.santander.com/content/dam/santander-com/en/documentos/informe-financiero-anual/2024/ifa-2024-consolidated-annual-financial-report-en.pdf,Commercial Banks
European Energy,DK0030521927,Denmark,2025-02-28,TRUE,KPMG,https://europeanenergy.com/wp-content/uploads/2025/02/annual-report-2024.pdf,Wind Technology & Project Developers
Trifork,CH1111227810,Switzerland,2025-02-28,TRUE,EY,https://investor.trifork.com/wp-content/uploads/sites/4/2025/02/Trifork_FY24_Annual-report.pdf,Internet Media & Services
FinnAir,FI4000567029,Finland,2025-02-28,TRUE,KPMG,https://investors.finnair.com/~/media/Files/F/Finnair-IR-V2/documents/en/reports-and-presentation/2024/finnair-financial-information-2024.pdf,Airlines
Acerinox,ES0132105018,Spain,2025-02-28,TRUE,PwC,https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2024-Acerinox-Group-Consolidated-Management-Report.pdf,Iron & Steel Producers
Cellnex,ES0105066007,Spain,2025-02-26,TRUE,Deloitte,https://informeanualintegrado.cellnex.com/files/2024/Informe_Anual_Integrado_2024_EN.pdf,Telecommunication Services
Ferrovial,NL0015001FS8,Spain,2025-02-28,TRUE,EY,https://static-iai.ferrovial.com/wp-content/uploads/sites/13/2025/02/28150113/ferrovial-integrated-annual-report-2024-1.pdf,Engineering & Construction Services
AB InBev,BE0974293251,Belgium,2025-02-26,TRUE,PwC,https://cdn.builder.io/o/assets%2F2e5c7fb020194c1a8ee80f743d0b923e%2Ffa283055d37b49a2814094325ca5abf1?alt=media&token=35f21c06-7ae0-4c9c-b6bf-85d79a306575&apiKey=2e5c7fb020194c1a8ee80f743d0b923e,Alcoholic Beverages
Amadeus IT,ES0109067019,Spain,2025-02-28,TRUE,EY,https://corporate.amadeus.com/documents/en/investors/2024/corporate-governance/non-financial-information-2024.pdf,Software & IT Services
Bayer,DE000BAY0017,Germany,2025-03-05,TRUE,Deloitte,https://www.bayer.com/sites/default/files/2025-03/bayer-annual-report-2024.pdf,Biotechnology & Pharmaceuticals
Arcadis,NL0006237562,Netherlands,2025-02-13,TRUE,PwC,https://media.arcadis.com/-/media/project/arcadiscom/com/investors/arcadis-annual-integrated-report/2025/arcadis-annual-integrated-report-2024.pdf,Engineering & Construction Services
Tietoevry,FI0009000277,Finland,2025-03-04,TRUE,Deloitte,https://ar2024.tietoevry.com/siteassets/tietoevry_annual_report_2024.pdf,Software & IT Services
adidas,DE000A1EWWW0,Germany,2025-03-05,TRUE,PwC,https://report.adidas-group.com/2024/en/_assets/downloads/annual-report-adidas-ar24.pdf,"Apparel, Accessories & Footwear"
ASML Holding,NL0010273215,Netherlands,2025-03-05,TRUE,KPMG,https://ourbrand.asml.com/m/79d325b168e0fd7e/original/2024-Annual-Report-based-on-US-GAAP.pdf#page=1,Semiconductors
Evonik,DE000EVNK013,Germany,2025-03-05,TRUE,KPMG,https://www.evonik.com/content/dam/evonik/documents/Evonik_Financial_and_Sustainability_Report_2024.pdf.coredownload.pdf?,Chemicals
DHL,DE0005552004,Germany,2025-03-06,TRUE,Deloitte,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/investors/documents/annual-reports/DHL-Group-2024-Annual-Report.pdf,Air Freight & Logistics
ING,NL0011821202,Netherlands,2025-03-06,TRUE,KPMG,https://www.ing.com/Investors/Financial-performance/Annual-reports/2024/2024-ING-Groep-NV-annual-report.htm,Commercial Banks
Bavarian Nordic,DK0015998017,Denmark,2025-03-05,TRUE,KPMG,https://www.bavarian-nordic.com/media/363807/bn_annual_report_2024.pdf,Biotechnology & Pharmaceuticals
Deutsche Lufthansa,DE0008232125,Germany,2025-03-06,TRUE,EY,https://investor-relations.lufthansagroup.com/fileadmin/downloads/en/financial-reports/annual-reports/LH-AR-2024-e.pdf,Airlines
IAG,ES0177542018,Spain,2025-03-06,TRUE,KPMG,https://www.iairgroup.com/media/4qxgaavc/iag-annual-report-and-accounts-2024.pdf,Airlines
Aena,ES0105046009,Spain,2025-02-26,TRUE,KPMG,https://www.aena.es/sites/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1576870867684&ssbinary=true,Air Freight & Logistics
Merck,DE0006599905,Germany,2025-03-06,TRUE,Deloitte,https://www.merckgroup.com/en/annualreport/2024/_assets/downloads/entire-merck-ar24.pdf,Biotechnology & Pharmaceuticals
Telefónica,ES0178430E18,Spain,2025-02-27,TRUE,PwC,https://www.telefonica.com/en/wp-content/uploads/sites/5/2025/02/Consolidated-Annual-Accounts-2024.pdf,Telecommunication Services
Signify,NL0011821392,Netherlands,2025-02-25,TRUE,EY,https://www.signify.com/static/2024/signify-annual-report-2024.pdf,Electrical & Electronic Equipment
UPM,FI0009005987,Finland,2025-03-05,TRUE,EY,https://www.upm.com/siteassets/asset/investors/2024/upm-annual-report-2024.pdf,Pulp & Paper Products
Kalmar Global,FI4000571054,Finland,2025-03-04,TRUE,EY,https://www.kalmarglobal.com/492e6a/contentassets/0777d969294a496686cf652379c24e08/kalmar-annual-report-2024.pdf,Industrial Machinery & Goods
Nokian Renkaat,FI0009005318,Finland,2025-03-03,TRUE,EY,https://nokiantyres.studio.crasman.cloud/pub/Corporate%20Web/PDF/Annual%20Reports/Nokian_Tyres_Annual_Report_2024.pdf,Auto Parts
Österreichische Post,AT0000APOST4,Austria,2025-03-07,TRUE,BDO,https://assets.post.at/-/media/Dokumente/En/Investor-Relations/Geschaefts--und-Nachhaltigkeitsberichte/Austrian-Post-Annual-Report-2024.pdf,Air Freight & Logistics
Koninklijke KPN,NL0000009082,Netherlands,2025-02-24,TRUE,EY,https://www.jaarverslag2024.kpn/downloads/KPN-integrated-annual-report-2024_2025-02-21-143127_spyv.pdf,Telecommunication Services
Allied Irish Banks (AIB) Group,IE00BF0L3536,Ireland,2025-03-05,TRUE,PwC,https://aib.ie/content/dam/frontdoor/investorrelations/docs/resultscentre/annualreport/2024/aib-group-plc-afr-report-2024.pdf,Commercial Banks
Stellantis,NL00150001Q9,Netherlands,2025-02-27,TRUE,Deloitte,https://www.stellantis.com/content/dam/stellantis-corporate/investors/financial-reports/Stellantis-NV-20241231-Annual-Report.pdf,Automobiles
EDP Renováveis,ES0127797019,Portugal,2025-03-10,TRUE,PwC,https://www.edpr.com/sites/edpr/files/2025-02/EDPR_AnnualReport2024.pdf,Electric Utilities & Power Generators
Amsterdam Commodities,NL0000313286,Netherlands,2025-03-07,TRUE,EY,https://www.acomo.nl/wp-content/uploads/2025/03/Annual-Report-2024-Interactive.pdf,Processed Foods
ELO,FR001400EHH1,France,2025-03-07,TRUE,PwC & KPMG,https://groupe-elo.com/app/uploads/2025/02/RFA_ELO_2024_EN-1.pdf,Food Retailers & Distributors
Volkswagen,DE0007664039,Germany,2025-03-11,TRUE,EY,https://www.volkswagen-group.com/en/publications/more/annual-report-2024-2931/download?disposition=attachment,Automobiles
Helvetia,CH0466642201,Switzerland,2025-03-06,TRUE,KPMG,https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/annual-results/2024/annual-report-2024.pdf,Insurance
Iveco,NL0015000LU4,Netherlands,2025-03-05,TRUE,Deloitte,https://www.ivecogroup.com/-/media/investors/shareholder_meetings/docs/agm_2025/doc/IVG_Annual_Report_2024.pdf?rev=c295e4c8117c4cbe9305ff93a3264b4c,Industrial Machinery & Goods
Air Liquide,FR0000120073,France,2025-03-07,TRUE,PwC & KPMG,https://www.airliquide.com/sites/airliquide.com/files/2025-03/air-liquide-2024-universal-registration-document.pdf,Chemicals
ABN Amro,NL0011540547,Netherlands,2025-03-12,TRUE,EY,https://downloads.ctfassets.net/1u811bvgvthc/4kP1H76f9NV9aqKE5SjTxE/a049b59e013fd808d8d0ceeb9ee3a4c5/ABN_AMRO___Integrated_Annual_Report_2024.pdf,Commercial Banks
Brenntag,DE000A1DAHH0 ,Germany,2025-03-12,TRUE,Deloitte,https://brenntagprod-media.e-spirit.cloud/06432017-be1f-41ce-8d1d-564e2a66d213/preview/documents/corporate/investor-relations/2024/annual-report-2024/brenntag_annual-report-2024_en.pdf#page=103,Chemicals
Zalando,DE000ZAL1111,Germany,2025-03-06,TRUE,KPMG,https://corporate.zalando.com/sites/default/files/media-download/Annual%20Report%202024_Zalando%20SE_EN_250503_s.pdf,E-Commerce
Adyen,NL0012969182,Netherlands,2025-03-07,TRUE,PwC,https://brand.adyen.com/api/asset/eyJjbGllbnRJZCI6bnVsbCwiaWQiOjU2NjkxLCJ0aW1lc3RhbXAiOjE3NDEzNDgzNDEsInZlcnNpb24iOjE3NDEzNDgyMDV9:adyen:kj44Bpqibw5DHCvRHFCwtnzOuM88_WWzAKJ1odHfCfY/download,E-Commerce
Porsche,DE000PAG9113,Germany,2025-03-12,TRUE,EY,https://a.storyblok.com/f/274296/x/0511322a0f/annual-and-sustainability-report-2024_porsche-ag-consolidated-financial-statements-ifrs.pdf,Automobiles
Rheinmetall,DE0007030009,Germany,2025-03-12,TRUE,Deloitte,https://ir.rheinmetall.com/media/document/0138f185-ccd4-4521-837b-e49cb68730b5/assets/DE0007030009-JA-2024-EQ-E-00.pdf,Aerospace & Defence
Wolters Kluwer,NL0000395903,Netherlands,2025-03-12,TRUE,Deloitte,https://assets.contenthub.wolterskluwer.com/api/public/content/2630611-wolters-kluwer-2024-annual-report-cd216d4be7?v=7a259453,Professional & Commercial Services
Schaeffler,DE000SHA0019,Germany,2025-03-05,TRUE,KPMG,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.schaeffler.com/remotemedien/media/_shared_media_rwd/08_investor_relations/reports/2024_ar/2024_schaeffler_annual_report_en_4lcd3b.pdf&ved=2ahUKEwiKj8jG-ISMAxVoBNsEHTcREtYQFnoECBQQAQ&usg=AOvVaw0kqStG20MfxvWHVTT1SuC7,Automobiles
GEA,DE0006602006,Germany,2025-03-11,TRUE,PwC,https://cdn.gea.com/-/media/investors/annual-report/2024/annual-report-2024-en.pdf?rev=d32047c550ae45919338a9b4b2a2f1b7,Industrial Machinery & Goods
Iberdrola,ES0144580Y14,Spain,2025-02-28,TRUE,KPMG,https://www.iberdrola.com/documents/20125/42388/IB_Sustainability_Report.pdf,Electric Utilities & Power Generators
Saint-Gobain,FR0000125007,France,2025-03-12,TRUE,Deloitte,https://www.saint-gobain.com/sites/saint-gobain.com/files/media/document/Saint-Gobain_2024_DEU_VA.pdf,Construction Materials
Kingspan,IE0004927939,Ireland,2025-02-25,TRUE,EY,https://annual-report.kingspan.com/wp-content/uploads/2025/02/KIngpsan-AR24.pdf,Building Products & Furnishings
